Name;X;Y
Serçe Limani;28.048.935;36.585.503
Theodosian Harbour;28.948.858;40.998.187
Korphos;23.124.679;37.764.580
Alexandria;29.918.739;31.200.093
Cyprus;33.167.217;35.006.135
Aperlae;29.786.702;36.158.621
Simena;29.861.155;36.190.203
Antiphellos;29.638.934;36.199.267
Teimiussa;29.847.745;36.197.284
Myra;29.988.493;36.254.268
Phoinix;30.146.889;36.295.855
Constantinople;28.962.375;41.010.096
Ganos;27.330.763;40.745.334
Abydos;26.412.537;40.194.887
Prokonessos;27.611.561;40.618.229
Athos;24.239.709;40.249.737
Trigleia;28.795.932;40.392.501
Assos;26.338.155;39.487.011
Atramyttion;26.958.672;39.546.613
Phokaia;26.756.752;38.670.625
Smyrna;27.146.741;38.430.819
Anaia;27.267.909;37.784.433
Ephesus;27.360.118;37.942.917
Attaleia;30.706.367;36.892.223
Tyre;35.199.223;33.269.334
Rhodes;27.963.308;36.197.168
Korykos;34.148.142;36.463.246
Aigina;23.511.796;37.724.185
Yassiada;27.197.170;36.992.635
Sinope;35.143.800;42.022.106
Heraclea;31.420.519;41.279.969
Amisos;36.342.497;41.275.580
Andriake;29.956.445;36.225.285
Cape Drepanon;32.317.275;34.899.896
Syros;24.910.226;37.433.502
Naxos;25.473.550;37.061.308
