Start Date,End Date,Location Name,Location Type,Disease Type,Reported Cases,Deaths,Longitude,Latitude
28.09.1780,,Mecca,City,Plague,,12000,39.8166670,21.4166670
28.09.1780,,Medina,City,Plague,,12000,39.6000000,24.4666670
26.06.1809,,Diriyah,Town,Plague,,,46.5755600,24.7333300
01.04.1847,,Hejaz,Province,Cholera,,,39.1333008,24.9860580
17.01.1849,,"Mina, Saudi Arabia",District,Cholera,,,39.8933330,21.4133330
30.12.1850,,Hejaz,Province,Cholera,,200,39.1333008,24.9860580
22.06.1865,,Hejaz,Province,Cholera,,,39.1333008,24.9860580
10.09.1866,,Mecca,City,Cholera,,,39.8166670,21.4166670
10.09.1866,,Medina,City,Cholera,,,39.6000000,24.4666670
31.01.1881,,Mecca,City,Cholera,,,39.8166670,21.4166670
10.07.1881,,Mecca,City,Cholera,,199,39.8166670,21.4166670
22.11.1881,,Jeddah,City,Cholera,,,39.1727780,21.5433330
22.09.1881,,Mecca,City,Cholera,,43,39.8166670,21.4166670
25.09.1883,,Kamaran,Island,Cholera,,,42.5895022,15.3566502
14.09.1891,,Hejaz,Province,Cholera,,,39.1333008,24.9860580
30.07.1890,,"Mina, Saudi Arabia",District,Cholera,,,39.8933330,21.4133330
02.08.1890,,Mecca,City,Cholera,,298,39.8166670,21.4166670
25.08.1890,,Jeddah,City,Cholera,,5,39.1727780,21.5433330
30.08.1890,,Jeddah,City,Cholera,,21,39.1727780,21.5433330
23.08.1891,,Sinai,District,Cholera,,,33.8333330,29.5000000
21.01.1893,,Kamaran,Island,Cholera,,,42.5895022,15.3566502
26.04.1893,,Medina,City,Cholera,,,39.6000000,24.4666670
30.09.1892,,Kamaran,Island,Cholera,,,42.5895022,15.3566502
16.06.1893,,Mecca,City,Cholera,,,39.8166670,21.4166670
29.06.1893,,"Mina, Saudi Arabia",District,Cholera,,,39.8933330,21.4133330
08.04.1895,,Kamaran,Island,Cholera,,,42.5895022,15.3566502
23.04.1895,,Mecca,City,Cholera,,,39.8166670,21.4166670
23.02.1899,,Jeddah,City,Plague,,1,39.1727780,21.5433330
06.03.1899,,Mecca,City,Plague,,,39.8166670,21.4166670
20.06.1897,,Jeddah,City,Plague,,3,39.1727780,21.5433330
23.03.1898,,Kamaran,Island,Plague,,,42.5895022,15.3566502
02.11.1898,,Jeddah,City,Plague,,,39.1727780,21.5433330
02.11.1898,,Mecca,City,Plague,,,39.8166670,21.4166670
16.04.1899,,Jeddah,City,Plague,,5,39.1727780,21.5433330
20.04.1899,,Jeddah,City,Plague,,1,39.1727780,21.5433330
29.04.1899,,Jeddah,City,Plague,,2,39.1727780,21.5433330
10.04.1899,,Mecca,City,Plague,2,,39.8166670,21.4166670
18.04.1900,,Yanbu,City,Plague,,,38.4239003,24.3030152
30.09.1902,,Hejaz,Province,Cholera,,,39.1333008,24.9860580
12.03.1902,,Mecca,City,Cholera,,,39.8166670,21.4166670
12.03.1902,,Medina,City,Cholera,,,39.6000000,24.4666670
17.03.1902,,Hejaz,Province,Cholera,,,39.1333008,24.9860580
04.01.1907,,Jeddah,City,Plague,,,39.1727780,21.5433330
31.05.1906,,Jeddah,City,Plague,,,39.1727780,21.5433330
31.05.1906,,Mecca,City,Plague,,,39.8166670,21.4166670
24.11.1907,,Kamaran,Island,Cholera,,,42.5895022,15.3566502
21.12.1907,,Jeddah,City,Cholera,,4,39.1727780,21.5433330
21.12.1907,,Yanbu,City,Cholera,,10,38.4239003,24.3030152
13.01.1907,,Mecca,City,Plague,,,39.8166670,21.4166670
13.01.1907,,Medina,City,Plague,,,39.6000000,24.4666670
22.02.1908,,Mecca,City,Plague,,,39.8166670,21.4166670
22.02.1908,,Jeddah,City,Plague,,,39.1727780,21.5433330
31.03.1908,,Yanbu,City,Plague,,,38.4239003,24.3030152
20.03.1909,,Jeddah,City,Plague,59,47,39.1727780,21.5433330
24.09.1911,,Medina,City,Cholera,,,39.6000000,24.4666670
07.01.1911,,Mecca,City,Cholera,,,39.8166670,21.4166670
28.11.1911,,Kamaran,Island,Cholera,,,42.5895022,15.3566502
11.10..1912,,Hejaz,Province,Cholera,,,39.1333008,24.9860580
23.10.1912,,Mecca,City,Cholera,,,39.8166670,21.4166670
23.10.1912,,Medina,City,Cholera,,,39.6000000,24.4666670
14.01.1913,,Mecca,City,Cholera,,,39.8166670,21.4166670
13.04.1877,,Arabian Peninsula,Region,Plague,,,46.0000000,23.0000000
17.01.1878,,Mecca,City,Cholera,,8,39.8166670,21.4166670
