Start Date,End Date,Location Name,Location Type,,Disease Type,Reported Cases,Deaths,Longitude,Latitude
02.07.1829,,Mosul,City,,Plague,,,43.1300,36.3400
02.07.1829,,Mardin,District,,Plague,,,40.7378,37.3167
10.05.1831,,Mosul,City,,Plague,,,43.1300,36.3400
10.05.1831,,Baghdad,City,,Plague,,,44.4220,33.3250
09.01.1845,,Baghdad,City,,Cholera,,,44.4220,33.3250
15.12.1847,,Mosul,City,,Cholera,,5,43.1300,36.3400
29.09.1851,,Basra,City,,Cholera,,,47.7610,30.5192
10.07.1851,,Baghdad,City,,Cholera,,119,44.4220,33.3250
10.07.1851,,Kadhimiya,Subdistrict,,Cholera,,28,44.2239,33.4759
30.01.1854,,Baghdad,City,,Cholera,,,44.4220,33.3250
23.12.1857,,Karbala,City,,Cholera,,,44.0333,32.6167
23.12.1857,,Baghdad,City,,Cholera,,,44.4220,33.3250
28.02.1859,,Khorramshahr,Subdistrict,,Cholera,,,48.1864,30.4368
28.03.1861,,Baghdad,City,,Cholera,,,44.4220,33.3250
29.06.1866,,Mosul,City,,Cholera,,,43.1300,36.3400
29.06.1866,,Cizre,Subdistrict,,Cholera,,,42.1958,37.3250
17.08.1867,,Al-Hindiya,Subdistrict,,Plague,,,44.1766,32.5153
29.08.1867,,Baghdad,City,,Cholera,,,44.4220,33.3250
23.05.1880,24.05.1880,Baghdad,City,,Plague,,350,44.4220,33.3250
23.05.1881,24.05.1881,,Tribe,Baghdad,Plague,,15,44.4220,33.3250
23.05.1882,24.05.1882,Ebuşehir,Village,,Plague,,135,,
02.03.1881,,Ar-Raqqah,Subdistrict,,Plague,,,39.0370,35.9467
1880,,Najaf,City,,Plague,62,48,43.8148,31.1256
02.03.1881,,Shamiya,Subdistrict,,Plague,,,47.9700,29.3464
01.05.1884,,Baghdad,City,,Plague,7,5,44.4220,33.3250
02.05.1884,,Baghdad,City,,Plague,12,16,44.4220,33.3250
03.05.1884,,Baghdad,City,,Plague,4,5,44.4220,33.3250
01.05.1884,,Zurbatiyah,Subdistrict,,Plague,,1,46.0500,33.1500
02.05.1884,,Zurbatiyah,Subdistrict,,Plague,2,,46.0500,33.1500
1884,,"Mandali, Iraq",Tribe,,Plague,1,5,45.5613,33.7395
03.08.1889,,Ash Shatrah,Town,,Cholera,,50,46.2905,31.3852
22.05.1890,,Baghdad,City,,Cholera,50,10,44.4220,33.3250
13.03.1889,,Mosul,City,,Cholera,,,43.1300,36.3400
13.03.1889,,Erbil,District,,Cholera,,,44.0092,36.1911
13.03.1889,,Rowanduz,District,,Cholera,,,44.3986,36.5967
13.03.1889,,Koy Sanjaq,Subdistrict,Erbil,Cholera,,,44.6431,36.0806
12.08.1889,,Basra,City,,Cholera,,,47.7610,30.5192
17.08.1889,,Baghdad,City,,Cholera,,,44.4220,33.3250
19.03.1890,,Zaho,Town,,Cholera,,,,
05.09.1889,,Tisin,Village,Kirkuk,Cholera,,,44.3167,35.4667
07.09.1889,,Muntafiq,District,,Cholera,,,,
21.09.1889,,Mosul,City,,Cholera,,,43.1300,36.3400
21.09.1889,,Al-Salihiyah,District,,Cholera,,,40.6458,34.7676
06.10.1889,,Al-Hindiya,District,,Cholera,,,44.1766,32.5153
20.06.1892,,Basra,District,,Plague,,,47.7610,30.5192
05.07.1893,,Baghdad,City,,Cholera,,,44.4220,33.3250
05.07.1893,,Nasiriyah,District,,Cholera,,,46.2492,31.0373
05.07.1893,,Ash Shatrah,District,,Cholera,,,46.2905,31.3852
15.06.1889,,Basra,City,,Cholera,,24,47.7610,30.5192
05.31.1893,,Amarah,District,,Cholera,,1,47.1451,31.8407
05.06.1893,,Basra,City,,Cholera,33,16,47.7610,30.5192
05.02.1893,,Ash Shatrah,District,,Cholera,5,2,46.2905,31.3852
16.09.1893,,Takuk,Town,Kirkuk,Cholera,,,44.3167,35.4667
26.08.1893,,Baghdad,City,,Cholera,13,5,44.4220,33.3250
10.10.1899,,Basra,City,,Cholera,,,47.7610,30.5192
10.10.1899,,Neşve,Village,Basra,Cholera,,,47.7610,30.5192
16.12.1903,,Karbala,City,,Cholera,,,44.0333,32.6167
22.01.1902,,Baghdad,City,,Cholera,,,44.4220,33.3250
19.04.1901,,Basra,City,,Plague,,,47.7610,30.5192
20.12.1903,,Mosul,City,,Cholera,,,43.1300,36.3400
23.05.1903,,Az Zubayr,Town,,Plague,,,47.0861,30.1260
14.03.1904,,Basra,City,,Cholera,2,1,47.7610,30.5192
15.03..1904,,Baghdad,City,,Cholera,,5,44.4220,33.3250
15.03.1904,,Basra,City,,Cholera,3,4,47.7610,30.5192
15.09.1904,,Kadhimiya,District,,Cholera,,,44.2239,33.4759
10.09.1904,,Shahrizor,District,,Cholera,,,,
29.08.1904,,Kirkuk,District,,Cholera,,,44.3167,35.4667
01.08.1904,,Sulaymaniyah,District,,Cholera,,,45.3868,35.5666
09.08.1904,,Samawah,District,,Cholera,,,45.2590,31.2374
15.06.1904,,Basra,City,,Cholera,,1,47.7610,30.5192
13.06.1904,,Amarah,District,,Cholera,,6,47.1451,31.8407
16.06.1904,,Basra,City,,Cholera,3,1,47.7610,30.5192
15.06.1904,,Baghdad,City,,Cholera,,75,44.4220,33.3250
15.06.1904,,Amarah,District,,Cholera,,3,47.1451,31.8407
18.06.1904,,Najaf,City,,Cholera,,101,43.8148,31.1256
18.06.1904,,Karbala,City,,Cholera,,48,44.0333,32.6167
18.06.1904,,Kadhimiya,District,,Cholera,,,44.2239,33.4759
18.06.1904,,Islahiyah,town,,Cholera,,,,
27.06.1904,,Hillah,District,,Cholera,,,44.4333,32.4833
27.06.1904,,Al-Hindiya,District,,Cholera,,,44.1766,32.5153
27.06.1904,,Al-Salihiyah,District,,Cholera,,,40.6458,34.7676
27.06.1904,,Junaki,District,,Cholera,,,52.6333,30.1147
27.06.1904,,Samawah,District,,Cholera,,,45.2590,31.2374
27.06.1904,,Yakubi,District,,Cholera,,,69.9900,33.4608
27.06.1904,,Basra,City,,Cholera,,1,47.7610,30.5192
27.06.1904,,Al Diwaniyah,District,,Cholera,,,44.9247,31.9892
14.06.1904,,Basra,City,,Cholera,9,3,47.7610,30.5192
08.06.1907,,Basra,City,,Plague,,1,47.7610,30.5192
31.05.1908,,Baghdad,City,,Plague,,,44.4220,33.3250
11.10.1911,,Karbala,City,,Cholera,,,44.0333,32.6167
07.08.1911,,Amarah,District,,Cholera,,,47.1451,31.8407
