Start Date,End Date,Location Name,Location Type,Location Extra,Disease Type,Reported Cases,Deaths,Longitude,Latitude,,,,,,,,
05.03.1754,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
23.07.1789,,Malatya,City,,Plague,,,38.2897081,38.3457491,,,,,,,,
07.05.1789,,Sanliurfa,City,,Plague,,,38.7916670,37.1583330,,,,,,,,
"29.12,1790",,Diyarbakır,Province,,Plague,,,40.2400000,37.9100000,,,,,,,,
16.10.1796,,Erzurum,Province,,Plague,,,41.2645499,39.9014975,,,,,,,,
04.05.1799,,Ergani,District,,Plague,,,39.7616670,38.2691670,,,,,,,,
09.07.1799,,Tunceli,District,,Plague,,,39.5500000,39.1000000,,,,,,,,
09.07.1799,,Elazig,District,,Plague,,,39.2166670,38.6666670,,,,,,,,
09.07.1799,,Ergani,District,,Plague,,,39.7616670,38.2691670,,,,,,,,
09.07.1799,,Diyarbakır,Province,,Plague,,,40.2400000,37.9100000,,,,,,,,
09.07.1799,,"Hani, Turkey",Tribe,,Plague,,,40.3925000,38.4136110,,,,,,,,
09.07.1799,,Atak,Tribe,,Plague,,,,,,,,,,,,
09.07.1799,,Hazro,Tribe,,Plague,,,40.7830560,38.2561110,,,,,,,,
09.07.1799,,Şarki,Tribe,,Plague,,,,,,,,,,,,
16.11.1847,,Bitlis,Province,,Cholera,,,42.1061620,38.4060750,,,,,,,,
18.06.1848,,Gaziantep,City,,Cholera,,,37.3760780,37.0658420,,,,,,,,
17.08.1848,,Gaziantep,City,,Cholera,,,37.3760780,37.0658420,,,,,,,,
30.09.1848,,Erzurum,Province,,Cholera,,,41.2645499,39.9014975,,,,,,,,
19.12.1848,,Havran,Subdistrict,,Cholera,,,27.0983330,39.5583330,,,,,,,,
19.12.1848,,Cidur,Subdistrict,,Cholera,,,,,,,,,,,,
19.12.1848,,Acklam,Subdistrict,,Cholera,,,,,,,,,,,,
19.12.1848,,Quneitra District,Subdistrict,,Cholera,,,35.8239000,33.1256000,,,,,,,,
01.08.1849,,Gaziantep,City,,Cholera,,,37.3760780,37.0658420,,,,,,,,
08.09.1852,,Hakkâri,District,,Cholera,,,43.7366670,37.5763890,,,,,,,,
24.01.1862,,Erzincan,City,,Cholera,,,39.4895599,39.7512233,,,,,,,,
29.10.1865,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
20.12.1865,,Mardin,District,,Cholera,,,40.7377780,37.3166670,,,,,,,,
20.12.1865,,Cizre,City,,Cholera,,,42.1958330,37.3250000,,,,,,,,
26.07.1866,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
29.06.1866,,Cizre,City,,Cholera,,,42.1958330,37.3250000,,,,,,,,
22.07.1890,,Mardin,City,,Cholera,,,40.7377780,37.3166670,,,,,,,,
22.07.1890,,Cizre,City,,Cholera,,,42.1958330,37.3250000,,,,,,,,
24.07.1890,,Erbil,District,,Cholera,,,44.0091670,36.1911110,,,,,,,,
24.07.1890,,Eruh,Subdistrict,,Cholera,,,42.1797220,37.7497220,,,,,,,,
24.07.1890,,Pervari,Subdistrict,,Cholera,,,42.5465270,37.9333380,,,,,,,,
27.07.1890,,Siirt,Subdistrict,,Cholera,,,41.9458330,37.9250000,,,,,,,,
01.08.1890,,Siverek,Subdistrict,,Cholera,,,39.3166670,37.7500000,,,,,,,,
04.08.1890,,Mardin,District,,Cholera,6,3,40.7377780,37.3166670,,,,,,,,
07.08.1890,,Duduisa,Subdistrict,Bitlis,Cholera,,,,,,,,,,,,
10.08.1890,,Asakir,Subdistrict,,Cholera,,,,,,,,,,,,
11.08.1890,,Nusaybin,District,,Cholera,,,41.2156940,37.0753330,,,,,,,,
12.08.1890,,Mardin,District,,Cholera,,,40.7377780,37.3166670,,,,,,,,
12.08.1890,,Cizre,District,,Cholera,,,42.1958330,37.3250000,,,,,,,,
12.08.1890,,Yaftali Sufla District,Village,,Cholera,,11,,,,,,,,,,
07.13.1890,,Cizre,City,,Cholera,,,42.1958330,37.3250000,,,,,,,,
