Name;X;Y
Serçe Limani;28.048935;36.585503
Theodosian Harbour;28.948858;40.998187
Korphos;23.124679;37.764580
Alexandria;29.918739;31.200093
Cyprus;33.167217;35.006135
Aperlae;29.786702;36.158621
Simena;29.861155;36.190203
Antiphellos;29.638934;36.199267
Teimiussa;29.847745;36.197284
Myra;29.988493;36.254268
Phoinix;30.146889;36.295855
Constantinople;28.962375;41.010096
Ganos;27.330763;40.745334
Abydos;26.412537;40.194887
Prokonessos;27.611561;40.618229
Athos;24.239709;40.249737
Trigleia;28.795932;40.392501
Assos;26.338155;39.487011
Atramyttion;26.958672;39.546613
Phokaia;26.756752;38.670625
Smyrna;27.146741;38.430819
Anaia;27.267909;37.784433
Ephesus;27.360118;37.942917
Attaleia;30.706367;36.892223
Tyre;35.199223;33.269334
Rhodes;27.963308;36.197168
Korykos;34.148142;36.463246
Aigina;23.511796;37.724185
Yassiada;27.197170;36.992635
Sinope;35.143800;42.022106
Heraclea;31.420519;41.279969
Amisos;36.342497;41.275580
Andriake;29.956445;36.225285
Cape Drepanon;32.317275;34.899896
Syros;24.910226;37.433502
Naxos;25.473550;37.061308
