Geoid,Geographic Area Name,Total_Population_25_over_Bachelor's_degree_or_higher
19001960100,"Census Tract 9601, Adair County, Iowa",383
19001960200,"Census Tract 9602, Adair County, Iowa",273
19001960300,"Census Tract 9603, Adair County, Iowa",339
19003950100,"Census Tract 9501, Adams County, Iowa",199
19003950200,"Census Tract 9502, Adams County, Iowa",260
19005960100,"Census Tract 9601, Allamakee County, Iowa",359
19005960200,"Census Tract 9602, Allamakee County, Iowa",328
19005960300,"Census Tract 9603, Allamakee County, Iowa",571
19005960400,"Census Tract 9604, Allamakee County, Iowa",245
19005960500,"Census Tract 9605, Allamakee County, Iowa",252
19007950100,"Census Tract 9501, Appanoose County, Iowa",262
19007950200,"Census Tract 9502, Appanoose County, Iowa",298
19007950300,"Census Tract 9503, Appanoose County, Iowa",471
19007950400,"Census Tract 9504, Appanoose County, Iowa",450
19007950500,"Census Tract 9505, Appanoose County, Iowa",148
19009070100,"Census Tract 701, Audubon County, Iowa",245
19009070200,"Census Tract 702, Audubon County, Iowa",279
19009070300,"Census Tract 703, Audubon County, Iowa",230
19011960100,"Census Tract 9601, Benton County, Iowa",472
19011960200,"Census Tract 9602, Benton County, Iowa",434
19011960300,"Census Tract 9603, Benton County, Iowa",698
19011960400,"Census Tract 9604, Benton County, Iowa",452
19011960500,"Census Tract 9605, Benton County, Iowa",1089
19011960600,"Census Tract 9606, Benton County, Iowa",246
19011960700,"Census Tract 9607, Benton County, Iowa",240
19013000100,"Census Tract 1, Black Hawk County, Iowa",73
19013000200,"Census Tract 2, Black Hawk County, Iowa",239
19013000300,"Census Tract 3, Black Hawk County, Iowa",212
19013000400,"Census Tract 4, Black Hawk County, Iowa",192
19013000500,"Census Tract 5, Black Hawk County, Iowa",86
19013000700,"Census Tract 7, Black Hawk County, Iowa",147
19013000800,"Census Tract 8, Black Hawk County, Iowa",129
19013000900,"Census Tract 9, Black Hawk County, Iowa",421
19013001000,"Census Tract 10, Black Hawk County, Iowa",382
19013001100,"Census Tract 11, Black Hawk County, Iowa",297
19013001200,"Census Tract 12, Black Hawk County, Iowa",469
19013001301,"Census Tract 13.01, Black Hawk County, Iowa",809
19013001302,"Census Tract 13.02, Black Hawk County, Iowa",1038
19013001400,"Census Tract 14, Black Hawk County, Iowa",1225
19013001501,"Census Tract 15.01, Black Hawk County, Iowa",734
19013001502,"Census Tract 15.02, Black Hawk County, Iowa",546
19013001503,"Census Tract 15.03, Black Hawk County, Iowa",754
19013001600,"Census Tract 16, Black Hawk County, Iowa",284
19013001701,"Census Tract 17.01, Black Hawk County, Iowa",64
19013001702,"Census Tract 17.02, Black Hawk County, Iowa",302
19013001800,"Census Tract 18, Black Hawk County, Iowa",167
19013001900,"Census Tract 19, Black Hawk County, Iowa",118
19013002000,"Census Tract 20, Black Hawk County, Iowa",367
19013002200,"Census Tract 22, Black Hawk County, Iowa",1094
19013002301,"Census Tract 23.01, Black Hawk County, Iowa",438
19013002303,"Census Tract 23.03, Black Hawk County, Iowa",73
19013002304,"Census Tract 23.04, Black Hawk County, Iowa",553
19013002400,"Census Tract 24, Black Hawk County, Iowa",1254
19013002500,"Census Tract 25, Black Hawk County, Iowa",1689
19013002601,"Census Tract 26.01, Black Hawk County, Iowa",1454
19013002604,"Census Tract 26.04, Black Hawk County, Iowa",623
19013002605,"Census Tract 26.05, Black Hawk County, Iowa",2245
19013002606,"Census Tract 26.06, Black Hawk County, Iowa",2021
19013002700,"Census Tract 27, Black Hawk County, Iowa",506
19013002800,"Census Tract 28, Black Hawk County, Iowa",439
19013002901,"Census Tract 29.01, Black Hawk County, Iowa",167
19013002902,"Census Tract 29.02, Black Hawk County, Iowa",523
19013003001,"Census Tract 30.01, Black Hawk County, Iowa",1382
19013003002,"Census Tract 30.02, Black Hawk County, Iowa",946
19015020100,"Census Tract 201, Boone County, Iowa",737
19015020200,"Census Tract 202, Boone County, Iowa",341
19015020300,"Census Tract 203, Boone County, Iowa",1223
19015020400,"Census Tract 204, Boone County, Iowa",211
19015020500,"Census Tract 205, Boone County, Iowa",1124
19015020600,"Census Tract 206, Boone County, Iowa",500
19015020700,"Census Tract 207, Boone County, Iowa",609
19017004000,"Census Tract 40, Bremer County, Iowa",427
19017004100,"Census Tract 41, Bremer County, Iowa",909
19017004200,"Census Tract 42, Bremer County, Iowa",1268
19017004300,"Census Tract 43, Bremer County, Iowa",325
19017004400,"Census Tract 44, Bremer County, Iowa",549
19017004500,"Census Tract 45, Bremer County, Iowa",331
19017004600,"Census Tract 46, Bremer County, Iowa",1264
19017004700,"Census Tract 47, Bremer County, Iowa",378
19019950100,"Census Tract 9501, Buchanan County, Iowa",283
19019950200,"Census Tract 9502, Buchanan County, Iowa",400
19019950300,"Census Tract 9503, Buchanan County, Iowa",381
19019950400,"Census Tract 9504, Buchanan County, Iowa",564
19019950500,"Census Tract 9505, Buchanan County, Iowa",723
19019950600,"Census Tract 9506, Buchanan County, Iowa",750
19021960100,"Census Tract 9601, Buena Vista County, Iowa",222
19021960200,"Census Tract 9602, Buena Vista County, Iowa",238
19021960300,"Census Tract 9603, Buena Vista County, Iowa",245
19021960400,"Census Tract 9604, Buena Vista County, Iowa",542
19021960500,"Census Tract 9605, Buena Vista County, Iowa",647
19021960600,"Census Tract 9606, Buena Vista County, Iowa",699
19023070100,"Census Tract 701, Butler County, Iowa",345
19023070200,"Census Tract 702, Butler County, Iowa",163
19023070300,"Census Tract 703, Butler County, Iowa",425
19023070400,"Census Tract 704, Butler County, Iowa",514
19023070500,"Census Tract 705, Butler County, Iowa",420
19025950100,"Census Tract 9501, Calhoun County, Iowa",433
19025950200,"Census Tract 9502, Calhoun County, Iowa",369
19025950300,"Census Tract 9503, Calhoun County, Iowa",176
19025950400,"Census Tract 9504, Calhoun County, Iowa",389
19027960100,"Census Tract 9601, Carroll County, Iowa",407
19027960200,"Census Tract 9602, Carroll County, Iowa",312
19027960300,"Census Tract 9603, Carroll County, Iowa",1274
